2

_id

_id,store,note,validfrom,expiry,balance,balancetype,cardid,barcodeid,barcodetype,headercolor,starstatus,lastused,archive
15,Office-Amazon,Online office supplies,1857254400000,1890432000000,220,USD,7890-9012-1234-3456,7890901223453456,CODE_128,-14642227,0,1764218937,0
16,Food-PizzaHut,Pizza delivery rewards,1857254400000,1890432000000,28,USD,9012-3456-7890-1234,9012345678901234,CODE_39,-14642227,0,1764218937,0
17,Sport-Puma,Running shoes membership,1857254400000,1890432000000,95,USD,3456-7890-1234-5678,3456789012345678,CODE_128,-5414233,0,1764218937,0
18,Phone-OnePlus,Premium phone rewards,1857254400000,1890432000000,265,USD,7777-8888-9999-0000,7777888899990000,CODE_128,-14642227,0,1764218937,0
19,Drink-DunkinDonuts,Coffee shop loyalty,1857254400000,1890432000000,35,USD,3456-4567-5678-6789,3456456756786789,CODE_128,-5414233,0,1764218937,0
20,Office-UPS,Package delivery rewards,1857254400000,1890432000000,105,USD,8901-9012-0123-1234,8901901201231234,CODE_128,-9977996,0,1764218937,0
21,Food-BurgerKing,Fast food membership,1857254400000,1890432000000,20,USD,1234-3456-5678-7890,1234345656787890,CODE_39,-5414233,0,1764218937,0
22,Sport-FootLocker,Shoe store loyalty card,1857254400000,1890432000000,92,USD,9012-0123-1234-2345,9012012312342345,CODE_128,-14642227,0,1764218937,0
23,Phone-TMobile,Wireless loyalty program,1857254400000,1890432000000,125,USD,3333-5555-7777-9999,3333555577779999,CODE_128,-5414233,0,1764218937,0
24,Drink-MountainDew,Energy soda rewards,1857254400000,1890432000000,11,USD,6666-8888-0000-2222,6666888800002222,CODE_128,-957596,0,1764218937,0
25,Office-Costco,Wholesale business card,1857254400000,1890432000000,180,USD,7777-9999-1111-3333,7777999911113333,CODE_128,-5414233,0,1764218937,0
26,Target,Retail department store rewards,1857254400000,1890432000000,95,USD,1828-2910-1021-8822,1828291010218822,CODE_128,-957596,0,1764218937,0
27,CVS-Pharmacy,Healthcare and wellness card,1857254400000,1890432000000,42,USD,2910-3821-2132-9933,2910382121329933,CODE_39,-14642227,0,1764218937,0
28,Barnes-Noble,Bookstore membership rewards,1857254400000,1890432000000,68,USD,3821-4732-3243-0044,3821473232430044,CODE_128,-5414233,0,1764218937,0
29,Sephora,Beauty and cosmetics loyalty,1857254400000,1890432000000,155,USD,4732-5643-4354-1155,4732564343541155,CODE_128,-9977996,0,1764218937,0
30,IKEA,Furniture and home goods card,1857254400000,1890432000000,210,USD,5643-6554-5465-2266,5643655454652266,CODE_128,-14642227,0,1764218937,0
31,Petco,Pet supplies rewards program,1857254400000,1890432000000,48,USD,6554-7465-6576-3377,6554746565763377,CODE_39,-957596,0,1764218937,0
32,GameStop,Video game store membership,1857254400000,1890432000000,78,USD,7465-8376-7687-4488,7465837676874488,CODE_128,-5414233,0,1764218937,0
33,AMC-Theatres,Movie theater rewards club,1857254400000,1890432000000,35,USD,8376-9287-8798-5599,8376928787985599,CODE_128,-9977996,0,1764218937,0
34,Whole-Foods,Organic grocery membership,1857254400000,1890432000000,125,USD,9287-0198-9809-6600,9287019898096600,CODE_128,-14642227,0,1764218937,0
35,Tesla,Electric vehicle services card,1857254400000,1890432000000,500,USD,0198-1009-0910-7711,0198100909107711,CODE_128,-957596,0,1764218937,0
36,Marriott,Hotel rewards membership,1857254400000,1890432000000,320,USD,1009-2910-1021-8822,1009291010218822,CODE_39,-5414233,0,1764218937,0
37,Delta-Airlines,Flight rewards program,1857254400000,1890432000000,450,USD,2910-3821-2132-9933,2910382121329933,CODE_128,-9977996,0,1764218937,0
38,Hilton,Hotel loyalty card,1857254400000,1890432000000,285,USD,3821-4732-3243-0044,3821473232430044,CODE_128,-14642227,0,1764218937,0
39,Southwest-Airlines,Travel rewards membership,1857254400000,1890432000000,390,USD,4732-5643-4354-1155,4732564343541155,CODE_128,-957596,0,1764218937,0
40,Uber,Ride sharing rewards,1857254400000,1890432000000,65,USD,5643-6554-5465-2266,5643655454652266,CODE_39,-5414233,0,1764218937,0
41,Lyft,Transportation loyalty program,1857254400000,1890432000000,58,USD,6554-7465-6576-3377,6554746565763377,CODE_39,-9977996,0,1764218937,0
42,Netflix,Streaming service rewards,1857254400000,1890432000000,45,USD,7465-8376-7687-4488,7465837676874488,CODE_128,-14642227,0,1764218937,0
43,Spotify,Music streaming membership,1857254400000,1890432000000,38,USD,8376-9287-8798-5599,8376928787985599,CODE_128,-957596,0,1764218937,0
44,Planet-Fitness,Budget gym membership card,1857254400000,1890432000000,0,USD,9287-0198-9809-6600,9287019898096600,CODE_128,-5414233,0,1764218937,0
45,LA-Fitness,Premium fitness club card,1857254400000,1890432000000,0,USD,0198-1009-0910-7711,0198100909107711,CODE_128,-9977996,0,1764218937,0
46,Nordstrom,Luxury retail rewards,1857254400000,1890432000000,245,USD,1009-2910-1021-8822,1009291010218822,CODE_128,-14642227,0,1764218937,0
47,Macys,Department store loyalty,1857254400000,1890432000000,165,USD,2910-3821-2132-9933,2910382121329933,CODE_128,-957596,0,1764218937,0
48,Home-Depot,Home improvement rewards,1857254400000,1890432000000,195,USD,3821-4732-3243-0044,3821473232430044,CODE_39,-5414233,0,1764218937,0
49,Lowes,Hardware store membership,1857254400000,1890432000000,172,USD,4732-5643-4354-1155,4732564343541155,CODE_39,-9977996,0,1764218937,0
50,Walgreens,Pharmacy loyalty program,1857254400000,1890432000000,52,USD,5643-6554-5465-2266,5643655454652266,CODE_128,-14642227,0,1764218937,0

cardId,groupId
